,Radius (ft),Length (ft)
0,152.9540088,3.28084
0,160.8293866,3.28084
0,180.4401625,3.28084
0,212.8041606,3.28084
0,245.1681588,3.28084
0,277.532157,3.28084
0,298.1607572,3.28084
0,298.1607572,3.28084
0,304.5260628,3.28084
0,310.8913683,3.28084
0,555.8240354,3.28084
0,800.7567025,3.28084
0,1039.324064,3.28084
0,1038.0565,3.28084
0,798.2215746,3.28084
0,506.8539748,3.28084
0,210.8076457,3.28084
0,154.5962421,3.28084
0,93.63568424,3.28084
0,84.20780067,3.28084
0,79.45864642,3.28084
0,74.70949217,3.28084
0,92.6128602,3.28084
0,100.5920765,3.28084
0,94.12283093,3.28084
0,87.65358533,3.28084
0,60.6481119,3.28084
0,42.7179618,3.28084
0,38.91789643,3.28084
0,35.11783105,3.28084
0,35.657079,3.28084
0,71.0071315,3.28084
0,106.6755612,3.28084
0,108.5157787,3.28084
0,108.6495426,3.28084
0,74.88885888,3.28084
0,40.85940589,3.28084
0,42.67645624,3.28084
0,47.28793089,3.28084
0,77.60131416,3.28084
0,542.692049,3.28084
0,577.4331911,3.28084
0,609.3799089,3.28084
0,600.5404492,3.28084
0,155.4359364,3.28084
0,139.0271485,3.28084
0,122.6183606,3.28084
0,109.3775271,3.28084
0,95.92442257,3.28084
0,82.10689469,3.28084
0,68.28936681,3.28084
0,128.6742307,3.28084
0,191.0278364,3.28084
0,193.226327,3.28084
0,195.4248176,3.28084
0,128.4273905,3.28084
0,63.57233235,3.28084
0,58.60706171,3.28084
0,54.05210733,3.28084
0,53.53952332,3.28084
0,50.88457035,3.28084
0,48.49494507,3.28084
0,46.28027361,3.28084
0,46.0515661,3.28084
0,45.64854815,3.28084
0,45.97752296,3.28084
0,51.49062467,3.28084
0,57.81770398,3.28084
0,230.4419259,3.28084
0,249.9596954,3.28084
0,241.6206516,3.28084
0,233.2816077,3.28084
0,58.81973172,3.28084
0,36.73231534,3.28084
0,30.99581251,3.28084
0,25.06944121,3.28084
0,20.74218848,3.28084
0,18.08034879,3.28084
0,22.8755668,3.28084
0,28.81030749,3.28084
0,33.62147477,3.28084
0,36.76722901,3.28084
0,46.79136791,3.28084
0,61.42497057,3.28084
0,66.72852539,3.28084
0,78.60208803,3.28084
0,91.55488229,3.28084
0,125.616634,3.28084
0,168.5328884,3.28084
0,204.879135,3.28084
0,189.0837543,3.28084
0,140.9126891,3.28084
0,92.74162395,3.28084
0,42.49688174,3.28084
0,34.17430819,3.28084
0,32.27442456,3.28084
0,29.70523143,3.28084
0,30.06530448,3.28084
0,30.09034779,3.28084
0,28.40591961,3.28084
0,27.97098108,3.28084
0,27.68813237,3.28084
0,27.45267184,3.28084
0,30.38849819,3.28084
0,35.7361397,3.28084
0,39.08554181,3.28084
0,69.2978633,3.28084
0,72.52227343,3.28084
0,69.07843695,3.28084
0,63.918111,3.28084
0,32.7237946,3.28084
0,26.34049341,3.28084
0,24.37920611,3.28084
0,25.82202108,3.28084
0,28.48570097,3.28084
0,31.31145627,3.28084
0,31.62101348,3.28084
0,34.95335375,3.28084
0,39.39908012,3.28084
0,40.09067577,3.28084
0,43.70763304,3.28084
0,70.23517426,3.28084
0,94.42846447,3.28084
0,99.03981819,3.28084
0,95.74494223,3.28084
0,63.92018794,3.28084
0,31.26869945,3.28084
0,21.90031733,3.28084
0,19.41869049,3.28084
0,20.66379411,3.28084
0,21.71905122,3.28084
0,22.397787,3.28084
0,24.41227944,3.28084
0,27.93850893,3.28084
0,32.48131913,3.28084
0,42.36262846,3.28084
0,53.00158665,3.28084
0,60.3015363,3.28084
0,82.57509643,3.28084
0,102.4315325,3.28084
0,113.2985956,3.28084
