,Radius (ft),Length(ft)
0,3658.164415,3.28084
0,4121.615279,3.28084
0,4496.656505,3.28084
0,6006.841823,3.28084
0,7517.02714,3.28084
0,7721.671395,3.28084
0,5814.934764,3.28084
0,5608.3267,3.28084
0,5359.537359,3.28084
0,4069.175707,3.28084
0,2322.119374,3.28084
0,1731.044811,3.28084
0,1569.983667,3.28084
0,1441.681602,3.28084
0,3263.739898,3.28084
0,4.77E+18,3.28084
0,4.77E+18,3.28084
0,4.77E+18,3.28084
0,4.77E+18,3.28084
0,4.77E+18,3.28084
0,4.77E+18,3.28084
0,945.6511315,3.28084
0,948.5222194,3.28084
0,894.4440103,3.28084
0,904.623762,3.28084
0,914.8035136,3.28084
0,933.0955891,3.28084
0,975.1924234,3.28084
0,1017.289258,3.28084
0,1139.989571,3.28084
0,1262.689884,3.28084
0,1385.390197,3.28084
0,1591.934346,3.28084
0,1539.255874,3.28084
0,2391.126413,3.28084
0,3219.342771,3.28084
0,3467.581933,3.28084
0,3444.821408,3.28084
0,6305.794896,3.28084
0,6533.288317,3.28084
0,5856.232727,3.28084
0,4871.811415,3.28084
0,4511.945842,3.28084
0,4374.411727,3.28084
0,1261.187439,3.28084
0,1261.328299,3.28084
0,1104.523169,3.28084
0,1090.87788,3.28084
0,1023.364822,3.28084
0,1122.425613,3.28084
0,1221.486403,3.28084
0,1008.950926,3.28084
0,953.3614385,3.28084
0,1061.977832,3.28084
0,1310.000713,3.28084
0,1440.117977,3.28084
0,1570.235242,3.28084
0,1577.040343,3.28084
0,1583.845445,3.28084
0,1590.650546,3.28084
0,1467.338384,3.28084
0,1163.344286,3.28084
0,863.7870108,3.28084
0,687.5418983,3.28084
0,512.7104431,3.28084
0,334.1970385,3.28084
0,155.6836339,3.28084
0,156.2688277,3.28084
0,148.3165003,3.28084
0,140.3641729,3.28084
0,130.9981881,3.28084
0,123.7948094,3.28084
0,109.6940465,3.28084
0,96.51585327,3.28084
0,87.438359,3.28084
0,76.28203672,3.28084
0,65.12571443,3.28084
0,53.71166864,3.28084
0,47.76204649,3.28084
0,42.18617508,3.28084
0,37.10400807,3.28084
0,37.12820752,3.28084
0,43.14870979,3.28084
0,50.94627891,3.28084
0,64.23355592,3.28084
0,77.80784891,3.28084
0,91.89099914,3.28084
0,89.69834345,3.28084
0,80.46892549,3.28084
0,73.52986782,3.28084
0,61.73699921,3.28084
0,49.8505066,3.28084
0,36.58203523,3.28084
0,36.56183133,3.28084
0,37.58208689,3.28084
0,39.76414378,3.28084
0,44.6484522,3.28084
0,50.62438143,3.28084
0,56.86837276,3.28084
0,61.10460014,3.28084
0,66.47359289,3.28084
0,66.72242807,3.28084
0,61.18956426,3.28084
0,54.65870366,3.28084
0,48.28564926,3.28084
0,44.18043719,3.28084
0,38.94245974,3.28084
0,37.42094986,3.28084
0,39.77595105,3.28084
0,44.02005777,3.28084
0,47.59622561,3.28084
0,55.61393138,3.28084
0,64.08758148,3.28084
0,85.56853592,3.28084
0,107.0494903,3.28084
0,204.1164054,3.28084
0,206.9992381,3.28084
0,205.1804546,3.28084
0,202.9057266,3.28084
0,181.8706032,3.28084
0,160.8354797,3.28084
0,61.53839617,3.28084
0,57.04688271,3.28084
0,52.85339457,3.28084
0,48.65990643,3.28084
0,48.17103788,3.28084
0,49.84982439,3.28084
0,55.27676093,3.28084
0,58.78145993,3.28084
0,63.10121192,3.28084
0,68.57165877,3.28084
0,75.68854123,3.28084
0,80.63776864,3.28084
0,86.563758,3.28084
0,94.41198491,3.28084
0,224.8634533,3.28084
0,523.4912635,3.28084
0,820.4726381,3.28084
0,846.0893152,3.28084
0,851.914456,3.28084
0,855.6803942,3.28084
0,735.7300128,3.28084
0,451.7028464,3.28084
0,167.6756801,3.28084
0,155.0132113,3.28084
0,166.0278593,3.28084
0,192.85411,3.28084
0,219.6803607,3.28084
0,241.2563595,3.28084
0,262.8323583,3.28084
0,284.4083571,3.28084
0,302.4042942,3.28084
0,306.6478313,3.28084
0,469.936276,3.28084
0,633.2247207,3.28084
0,796.5131655,3.28084
0,799.9116599,3.28084
0,799.0666172,3.28084
0,763.8664584,3.28084
0,566.502239,3.28084
0,369.1380196,3.28084
0,168.6076974,3.28084
0,127.9673255,3.28084
0,87.32695355,3.28084
0,81.04169784,3.28084
0,89.81117369,3.28084
0,91.9645484,3.28084
0,87.65171801,3.28084
0,83.33888761,3.28084
0,77.27081734,3.28084
0,70.63686149,3.28084
0,51.85507549,3.28084
0,39.68939064,3.28084
0,38.29364939,3.28084
0,59.5392256,3.28084
0,82.5400417,3.28084
0,83.55460188,3.28084
0,84.78141352,3.28084
0,86.05324415,3.28084
0,86.00825962,3.28084
0,64.66748503,3.28084
0,45.18965997,3.28084
0,65.44360116,3.28084
0,375.3699305,3.28084
0,399.6970398,3.28084
0,424.2033286,3.28084
0,437.3529298,3.28084
0,447.4686009,3.28084
0,440.6475961,3.28084
0,144.154203,3.28084
0,125.3158205,3.28084
0,105.1649433,3.28084
0,95.02522636,3.28084
0,86.05649001,3.28084
0,118.4138753,3.28084
0,150.7712605,3.28084
0,150.9244263,3.28084
0,152.3900867,3.28084
0,149.2942058,3.28084
0,147.6265709,3.28084
0,104.2129803,3.28084
0,61.07293396,3.28084
